aggregate_period,platform_category,aggregate_count,source_project,source_url,last_verified,notes_for_methodology
2026-06,no_public_platform_id,27,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Derived from platform field presence only; no names, IDs, or raw rows published."
2026-06,twitch_only,170,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Derived from platform field presence only; no names, IDs, or raw rows published."
2026-06,youtube_and_twitch,1937,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Derived from platform field presence only; no names, IDs, or raw rows published."
2026-06,youtube_only,2381,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Derived from platform field presence only; no names, IDs, or raw rows published."
