aggregate_period,public_status_category,aggregate_count,source_project,source_url,last_verified,notes_for_methodology
2026-06,active,3923,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Aggregate of upstream Activity labels; not real-time status and no names, IDs, or raw rows published."
2026-06,graduated,426,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Aggregate of upstream Activity labels; not real-time status and no names, IDs, or raw rows published."
2026-06,preparing,156,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Aggregate of upstream Activity labels; not real-time status and no names, IDs, or raw rows published."
2026-06,unknown,10,TaiwanVtuberData/TaiwanVtuberTrackingData,https://raw.githubusercontent.com/TaiwanVtuberData/TaiwanVtuberTrackingData/master/DATA/TW_VTUBER_TRACK_LIST.csv,2026-06-07,"Aggregate of upstream Activity labels; not real-time status and no names, IDs, or raw rows published."
